root	gloss_fil	pos	source
sumpit			Samson p689 [unknown/low]
sumpung		V	PALI:sumpung
sun		noun-verb	Samson p689 [dictionary_explicit/high]
sunab		noun-verb	Samson p690 [dictionary_explicit/high]
sundalos			Mirikitani p959 [unknown/low]
sundalus		N	PALI:sunda’lus
sundang		noun	Samson p690 [dictionary_explicit/high]
sunde		noun-verb	Samson p690 [unknown/low]
sundesunday			Samson p690 [unknown/low]
sundu		verb	Samson p690 [unknown/low]
sundul		noun	Samson p690 [dictionary_explicit/high]
sundul-		V	PALI:sundul-
sunga		noun-verb	Samson p690 [unknown/low]
sungab			Samson p690 [unknown/low]
sungal		adjective	Samson p690 [dictionary_explicit/high]
sungasung			Samson p690 [unknown/low]
sungasungasung			Samson p690 [unknown/low]
sunggit			PALI:su’nggit
sungi		adjective	Samson p691 [dictionary_explicit/high]
sungingi			Samson p691 [dictionary_explicit/high]
sungit		noun	Samson p691 [unknown/low]
sungka		noun	Samson p690 [unknown/low]
sungkal		verb	Samson p690 [dictionary_explicit/high]
sungkit		N	PALI:su’ngkit
sungko		adjective	Samson p691 [dictionary_explicit/high]
sungsung		D	PALI:sungsung
sungul			Samson p691 [unknown/low]
sunis		noun	Samson p691 [dictionary_explicit/high]
sunlag		V	PALI:sunlag
sunu		V	PALI:sunu’q
supapi		N	PALI:supa’piq
superintendente			Mirikitani p959 [unknown/low]
supil		verb	Samson p693 [dictionary_explicit/high]
supling		N	PALI:supli’ng
supuio			Samson p693 [unknown/low]
suput		N	PALI:su’put
sur		noun	Samson p693 [unknown/low]
sur-gamat		N	PALI:sur-gamat
surac			Samson p693 [unknown/low]
sure		noun	Samson p693 [unknown/low]
sureras		N	PALI:sure’ras
surere		adjective	Samson p693 [unknown/low]
suresure			Samson p693 [unknown/low]
suri		V	PALI:suri
surit		noun	Samson p693 [unknown/low]
susi		N	PALI:su’siq
susing		N	PALI:susi’ng
suspect			Samson p693 [unknown/low]
suspende		verb	Samson p693 [unknown/low]
suspisioso		adjective	Samson p693 [unknown/low]
sustansia		noun	Samson p693 [unknown/low]
sustentu		noun	Samson p694 [unknown/low]
susu		N	PALI:su’su
susub		noun	Samson p694 [dictionary_explicit/high]
susubasta			Samson p676 [dictionary_explicit/high]
susug		verb	Samson p694 [dictionary_explicit/high]
susup		verb	Samson p694 [dictionary_explicit/high]
susut		noun	Samson p694 [unknown/low]
sut		noun-verb	Samson p694 [dictionary_explicit/high]
sutla		noun	Samson p695 [unknown/low]
sutsut		noun	Samson p695 [unknown/low]
suul			Kapampangan-English-Pilipino wordlist p49 [unknown/low]
suya		D	PALI:-su’yaq
suyi		adjective	Samson p695 [dictionary_explicit/high]
suyu		noun	Samson p695 [dictionary_explicit/high]
swam		N	PALI:swam
swastika			Samson p695 [unknown/low]
swekus		N	PALI:swe’kus
swelas		D	PALI:-swelas
sweldu		N	PALI:swe’ldu
swi		D	PALI:swiq
sya		D	PALI:sya
syadu			Mirikitani p959 [unknown/low]
syam		Nu	PALI:syam
syano		N	PALI:sya’no
syapi		N	PALI:sya’piq
syas		D	PALI:-syas
syete-plores		N	PALI:syete-plores
syok		N	PALI:syok
syoki		N	PALI:syo’ki
syoktong		N	PALI:syokto’ng
syopaw		N	PALI:syo’paw
ta		Adjunct	PALI:taq
ta-			PALI:ta-
taal			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
taba		N	PALI:taba’q
tabac		adjective	Samson p697 [dictionary_explicit/high]
tabak			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
tabaku		N	PALI:taba’kuq
tabal		V	PALI:taba’l
tabalu			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
tabang		D	PALI:-ta’bang
tabangongo			Samson p698 [unknown/low]
tabas		noun	Samson p698 [dictionary_explicit/high]
tabernakulo		noun	Samson p698 [unknown/low]
tabi			Samson p698 [unknown/low]
tabig		noun-verb	Samson p698 [unknown/low]
tabii			Samson p698 [dictionary_explicit/high]
tabilo			Samson p698 [unknown/low]
tabing		N	PALI:tabi’ng
tabla		N	PALI:tabla
table			Samson p425 [dictionary_explicit/high]
tableria			Samson p699 [dictionary_explicit/high]
tableta			Samson p699 [unknown/low]
tabrete		noun	Samson p699 [dictionary_explicit/high]
tabsing		noun	Samson p699 [unknown/low]
tabtab		N	PALI:tabtab
tabu		noun	Samson p699 [dictionary_explicit/high]
tabubuc		noun	Samson p699 [unknown/low]
tabug		V	PALI:tabu’g
tabugnus		noun-verb	Samson p699 [unknown/low]
tabulan		adjective	Samson p699 [unknown/low]
tabun		N	PALI:ta’bun
tabungo		noun	Samson p699 [unknown/low]
taburete			Mirikitani p960 [unknown/low]
tabuyuc		noun	Samson p699 [unknown/low]
tabuyuk			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
tacba		noun	Samson p701 [dictionary_explicit/high]
tacde		noun	Samson p701 [dictionary_explicit/high]
tacla		noun	Samson p701 [dictionary_explicit/high]
taclaid			Samson p702 [dictionary_explicit/high]
taclas		transitive verb	Samson p702 [dictionary_explicit/high]
tacman			Samson p702 [dictionary_explicit/high]
tacmit			Samson p702 [dictionary_explicit/high]
tacnaido		interjection	Samson p702 [unknown/low]
tacnip		adjective	Samson p702 [dictionary_explicit/high]
taco		N	PALI:ta’co
tacse		noun	Samson p703 [unknown/low]
tacsiapo		interjection	Samson p703 [unknown/low]
tacsil		adjective	Samson p703 [dictionary_explicit/high]
tactac		transitive verb	Samson p703 [dictionary_explicit/high]
tactika		noun	Samson p703 [unknown/low]
tadtad		V	PALI:tadtad
tafeta		noun	Samson p704 [dictionary_explicit/high]
tag			Samson p175 [dictionary_explicit/high]
tag-gan		noun	Samson p705 [unknown/low]
tag-giang		noun	Samson p705 [unknown/low]
taga		noun	Samson p704 [unknown/low]
taga-			PALI:taga-
tagabawa		noun	Samson p704 [unknown/low]
tagabili		noun	Samson p704 [unknown/low]
tagabulag		N	PALI:tagabu’lag
tagac		noun	Samson p704 [unknown/low]
tagahanga		noun	Samson p704 [unknown/low]
tagailog		noun	Samson p704 [unknown/low]
tagaindu			Samson p704 [dictionary_explicit/high]
tagak		N	PALI:taga’k
tagakaolo		noun	Samson p704 [unknown/low]
tagakogon		noun	Samson p704 [unknown/low]
tagal		V	PALI:taga’l
tagalug		noun	Samson p704 [dictionary_explicit/high]
tagan		V./D./St	PALI:tagan
tagana		adjective	Samson p705 [dictionary_explicit/high]
tagbanwa		noun	Samson p705 [unknown/low]
tagdi		N	PALI:tagdi’q
tage		transitive verb	Samson p705 [dictionary_explicit/high]
taggiangan			Samson p705 [unknown/low]
tagibang		adjective	Samson p705 [unknown/low]
tagibulag		noun	Samson p705 [dictionary_explicit/high]
tagil		transitive verb	Samson p706 [dictionary_explicit/high]
tagilid		D	PALI:tagi’lid
tagilo		adjective	Samson p706 [dictionary_explicit/high]
tagilu		N	PALI:tagilu’
tagimpan		adjective	Samson p706 [dictionary_explicit/high]
tagin			Samson p706 [unknown/low]
taginis		transitive verb	Samson p706 [dictionary_explicit/high]
tagis			Samson p706 [dictionary_explicit/high]
tagkil		noun	Samson p706 [dictionary_explicit/high]
tagking		noun	Samson p706 [unknown/low]
tagku		transitive verb	Samson p705 [dictionary_explicit/high]
taglaus			Samson p707 [unknown/low]
tagle		noun	Samson p706 [dictionary_explicit/high]
taglus		V	PALI:taglu’s
tagnan		N	PALI:tagna’n
tagpi		adjective	Samson p707 [dictionary_explicit/high]
tagpus		adjective	Samson p707 [dictionary_explicit/high]
tagtag		transitive verb	Samson p707 [dictionary_explicit/high]
tagu		N	PALI:tagu’
tagubayan			Samson p707 [unknown/low]
tagube			Samson p707 [unknown/low]
tagulale			Samson p707 [dictionary_explicit/high]
tagulaling		noun	Samson p707 [unknown/low]
tagulele			Samson p708 [dictionary_explicit/high]
taguling		noun	Samson p708 [unknown/low]
tagumpe		N	PALI:tagumpe’
tagun		V	PALI:tagun
taguri		adjective	Samson p708 [dictionary_explicit/high]
tagusgus			Samson p708 [unknown/low]
taguso		transitive verb	Samson p708 [dictionary_explicit/high]
tagustus		noun-verb	Samson p708 [unknown/low]
taguyud		transitive verb	Samson p708 [dictionary_explicit/high]
tagyang		N	PALI:tagya’ng
tahada		N	PALI:tahadaq
tahimik		N	PALI:tahi’mik
tahu			PALI:tahu’
tai			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
taictic		noun	Samson p708 [unknown/low]
taid		verb	Samson p708 [unknown/low]
taiktik			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
tail			Samson p451 [unknown/low]
taila		noun	Samson p709 [dictionary_explicit/high]
taimik			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
taimtim		D./V	PALI:taimtim
taip		transitive verb	Samson p709 [dictionary_explicit/high]
tais		transitive verb	Samson p709 [dictionary_explicit/high]
taiwan			Samson p709 [unknown/low]
taka		adjective	Samson p699 [unknown/low]
takad		transitive verb	Samson p700 [dictionary_explicit/high]
takal		N	PALI:takal
takam		transitive verb	Samson p700 [dictionary_explicit/high]
takamtakam			Samson p700 [unknown/low]
takap		N	PALI:taka’p
takas		V	PALI:takas
takda		N./D	PALI:takda’q
takde		N	PALI:takde’
take		transitive verb	Samson p709 [dictionary_explicit/high]
takid		V	PALI:takid
takiki			Samson p709 [dictionary_explicit/high]
takilia		noun	Samson p709 [unknown/low]
takiliera		noun	Samson p709 [unknown/low]
takilya		N	PALI:taki’lya
takiran			Samson p709 [unknown/low]
takitaki			Samson p709 [unknown/low]
takla			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
taklub			Kapampangan-English-Pilipino wordlist p50 [unknown/low]
takman		V	PALI:takman
taknedamu			PALI:taknedamu
tako		noun	Samson p702 [dictionary_explicit/high]
taku		noun	Samson p703 [unknown/low]
takub		noun	Samson p703 [dictionary_explicit/high]
takuid		adjective	Samson p703 [unknown/low]
takuku		noun	Samson p703 [dictionary_explicit/high]
takung		noun	Samson p703 [unknown/low]
takuri		noun	Samson p703 [unknown/low]
takusa			Samson p710 [unknown/low]
takut		N./V./D	PALI:ta’kut
tal		noun	Samson p710 [unknown/low]
tala		N	PALI:ta’laq
tala-			PALI:tala-
talab		noun	Samson p710 [dictionary_explicit/high]
talaba		noun	Samson p710 [unknown/low]
talabid		transitive verb	Samson p710 [dictionary_explicit/high]
talabis		noun	Samson p710 [unknown/low]
talabu		noun	Samson p710 [dictionary_explicit/high]
talac		noun-verb	Samson p710 [dictionary_explicit/high]
talacsa			Samson p711 [unknown/low]
talactac		transitive verb	Samson p711 [dictionary_explicit/high]
talactalac			Samson p710 [unknown/low]
talad		noun-verb	Samson p711 [dictionary_explicit/high]
taladro		noun	Samson p711 [dictionary_explicit/high]
taladtad		noun	Samson p711 [unknown/low]
talaga		Q./D	PALI:talaga’
talagube		N	PALI:talagube
talaib		noun	Samson p711 [unknown/low]
talakabaldugan			Samson p711 [unknown/low]
talakad		V	PALI:talaka’d
talakitok			Mirikitani p960 [unknown/low]
talakituc		noun	Samson p711 [unknown/low]
talakituk			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talaksan		N	PALI:talaksa’n
talakup		noun	Samson p711 [unknown/low]
talam		noun-verb	Samson p711 [unknown/low]
talambie			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talamitam			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talamitan		adjective	Samson p711 [dictionary_explicit/high]
talampakan		N	PALI:talampa’kan
talampune			Samson p712 [dictionary_explicit/high]
talamtam			Samson p712 [unknown/low]
talamuri			Samson p712 [unknown/low]
talan		V	PALI:talan
talandang		noun-verb	Samson p712 [dictionary_explicit/high]
talandon		noun-verb	Samson p712 [unknown/low]
talang		noun	Samson p713 [unknown/low]
talanga		noun-verb	Samson p713 [dictionary_explicit/high]
talangbie			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talangka		N	PALI:talangkaq
talangkibi			Samson p713 [unknown/low]
talangpas		noun	Samson p713 [unknown/low]
talangtalang		noun	Samson p713 [unknown/low]
talansic		noun	Samson p713 [dictionary_explicit/high]
talapis		adjective	Samson p713 [dictionary_explicit/high]
talaran		N	PALI:tala’ran
talaru		noun	Samson p713 [dictionary_explicit/high]
talas		noun-verb	Samson p713 [dictionary_explicit/high]
talasa		noun-verb	Samson p713 [unknown/low]
talasawa			Mirikitani p960 [unknown/low]
talastas		D	PALI:talastas
talatag		noun	Samson p714 [dictionary_explicit/high]
talatalabis			Samson p710 [unknown/low]
talatalakad			Samson p711 [unknown/low]
talatalandi			Samson p712 [unknown/low]
talatalangpas			Samson p713 [unknown/low]
talatuki		noun	Samson p714 [unknown/low]
talausuc		noun	Samson p714 [unknown/low]
talba			PALI:talba’
talbug			Samson p714 [unknown/low]
talbus			Samson p714 [unknown/low]
taldac		noun	Samson p714 [unknown/low]
taldaua			Samson p714 [unknown/low]
taldawa		N	PALI:talda’waq
tale		noun	Samson p714 [unknown/low]
talento		noun	Samson p714 [unknown/low]
talete			Samson p714 [dictionary_explicit/high]
tali		V	PALI:tali’q
talibatab		N	PALI:talibatab
talibung			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talicbong		noun	Samson p716 [unknown/low]
taligis		noun-verb	Samson p716 [unknown/low]
taligtig		noun-verb	Samson p716 [unknown/low]
talik		D	PALI:ta’lik
talikala		noun	Samson p716 [dictionary_explicit/high]
talikul		noun	Samson p716 [unknown/low]
talilis		noun-verb	Samson p716 [dictionary_explicit/high]
talimhaga			Samson p716 [unknown/low]
talimpukan		adjective	Samson p716 [unknown/low]
talimunduk			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talimusac		noun	Samson p716 [unknown/low]
talimusak			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talindata		noun-verb	Samson p716 [unknown/low]
talindatu			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talindiking		N	PALI:talindiking
talindo			Samson p716 [unknown/low]
talinduan		adjective	Samson p716 [unknown/low]
taling		verb	Samson p716 [unknown/low]
talinga		noun	Samson p717 [unknown/low]
talingaga			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talingtalingan			Samson p717 [unknown/low]
talingting		transitive verb	Samson p717 [dictionary_explicit/high]
talino			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talip			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talip-		V	PALI:tali’p-
taliptip			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
taliri		N	PALI:tali’riq
talisain			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talisud			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
talmgtingan			Samson p717 [dictionary_explicit/high]
talnan			PALI:talnan
talo		noun-verb	Samson p717 [dictionary_explicit/high]
talocbong			Samson p718 [dictionary_explicit/high]
taloti		D	PALI:talo’ti
taloto		noun	Samson p718 [dictionary_explicit/high]
talpac			Samson p718 [unknown/low]
talpakan		N	PALI:talpa’kan
taltal		V	PALI:talta’l
talu		noun	Samson p718 [unknown/low]
talubang		noun	Samson p718 [unknown/low]
talubitbit		adjective	Samson p718 [dictionary_explicit/high]
talubu		verb	Samson p718 [unknown/low]
talucbung			Samson p718 [unknown/low]
taluctuc		noun	Samson p718 [unknown/low]
taludtud		transitive verb	Samson p718 [dictionary_explicit/high]
talugigi			Samson p719 [unknown/low]
talugtug		adjective	Samson p719 [unknown/low]
talukab		N	PALI:taluka’b
talukbung			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
taluki		noun (OCR: printed as 'ft.')	Samson p719 [dictionary_explicit/high]
talukud		noun	Samson p718 [dictionary_explicit/high]
talumpac		noun-verb	Samson p719 [dictionary_explicit/high]
talumpati		noun	Samson p719 [unknown/low]
talumpuc		adjective	Samson p719 [dictionary_explicit/high]
talung		N	PALI:talu’ng
talungku		V./St	PALI:talungku’q
talungtung			Samson p720 [unknown/low]
taluntun		noun-verb	Samson p720 [unknown/low]
talurang		adjective	Samson p720 [dictionary_explicit/high]
taluras			Samson p720 [unknown/low]
talus		noun-verb	Samson p720 [dictionary_explicit/high]
talusad		V	PALI:talu’sad
taluse			Samson p721 [dictionary_explicit/high]
talustus		noun	Samson p721 [unknown/low]
talyasi			Samson p721 [dictionary_explicit/high]
tamac		noun-verb	Samson p721 [dictionary_explicit/high]
tamad		D	PALI:tama’d
tamales			Samson p721 [unknown/low]
tamalis		N	PALI:tama’lis
taman			Samson p722 [unknown/low]
tamarindu		noun	Samson p722 [unknown/low]
tamas-		V	PALI:tamas-
tamasa		adjective	Samson p722 [dictionary_explicit/high]
tamatis		N	PALI:tama’tis
tamayuc		noun-verb	Samson p721 [unknown/low]
tambac		noun	Samson p722 [dictionary_explicit/high]
tambak			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
tambal			Samson p723 [dictionary_explicit/high]
tamban		noun	Samson p723 [unknown/low]
tambang			Kapampangan-English-Pilipino wordlist p51 [unknown/low]
tambaya			Samson p722 [dictionary_explicit/high]
tambayuc		noun	Samson p723 [dictionary_explicit/high]
tambayuk		V./N	PALI:tamba’yuk
tambilala		N	PALI:tambila’laq
tambiluc		noun	Samson p723 [unknown/low]
tambing		adverb	Samson p723 [dictionary_explicit/high]
tambiolo		noun	Samson p723 [unknown/low]
tambis		transitive verb	Samson p723 [dictionary_explicit/high]
tambiyolo			Kapampangan-English-Pilipino wordlist p52 [unknown/low]
tambubung		noun	Samson p724 [unknown/low]
tambuk			Kapampangan-English-Pilipino wordlist p52 [unknown/low]
tambul		noun	Samson p724 [unknown/low]
tambuli		noun	Samson p724 [unknown/low]
tambulug		noun-verb	Samson p724 [dictionary_explicit/high]
tambulung		N	PALI:tambulu’ng
tambun		noun	Samson p724 [dictionary_explicit/high]
tambung		transitive verb	Samson p724 [dictionary_explicit/high]
tamburin		noun	Samson p724 [unknown/low]
tambutsu		noun	Samson p724 [unknown/low]
tambuyuc			Samson p724 [unknown/low]
tami			Samson p724 [unknown/low]
tamilmil			Kapampangan-English-Pilipino wordlist p52 [unknown/low]
tamimi		noun-verb	Samson p724 [dictionary_explicit/high]
tamo		noun	Samson p724 [unknown/low]
tampa		adjective	Samson p725 [unknown/low]
tampac			Samson p725 [unknown/low]
tampal		transitive verb	Samson p725 [dictionary_explicit/high]
tampalac		adjective	Samson p725 [unknown/low]
tampalasan		adjective	Samson p725 [dictionary_explicit/high]
tampaling		noun	Samson p725 [dictionary_explicit/high]
tampaling-		V	PALI:tampaling-
tampayac		noun	Samson p725 [unknown/low]
tampi		noun	Samson p726 [dictionary_explicit/high]
tampiluc		adjective	Samson p726 [unknown/low]
tamping		noun	Samson p726 [unknown/low]
tampiso		noun	Samson p726 [dictionary_explicit/high]
tampius			Samson p726 [unknown/low]
tampuc		noun	Samson p726 [unknown/low]
tampul		noun	Samson p726 [unknown/low]
tampun			Samson p726 [dictionary_explicit/high]
tampus		D	PALI:tampus
tamsfe		verb	Samson p726 [unknown/low]
tamtam		transitive verb	Samson p726 [dictionary_explicit/high]
tamu		Substitute: personal pronoun	PALI:ta’mu
tamual		noun	Samson p727 [dictionary_explicit/high]
tamumu		N	PALI:tamu’mu
tan		noun-verb	Samson p727 [unknown/low]
tan-tarantan		noun	Samson p733 [unknown/low]
tana			Samson p727 [dictionary_explicit/high]
tanac		adjective	Samson p727 [dictionary_explicit/high]
tanam		V	PALI:tanam
tanara		adjective	Samson p728 [dictionary_explicit/high]
tanat		adjective	Samson p728 [unknown/low]
tanda		N	PALI:tanda’q
tandanan		V	PALI:tandanan
tandang		N	PALI:tandang
tandayan		noun	Samson p728 [unknown/low]
tande			Samson p728 [unknown/low]
tandic		transitive verb	Samson p728 [dictionary_explicit/high]
tando			Samson p728 [unknown/low]
tandoc		noun	Samson p728 [dictionary_explicit/high]
tandus		noun	Samson p728 [dictionary_explicit/high]
tang			PALI:tang
tanga		D	PALI:tanga’
tangab		adjective	Samson p729 [dictionary_explicit/high]
tangad		noun-verb	Samson p729 [dictionary_explicit/high]
tangal		transitive verb	Samson p729 [dictionary_explicit/high]
tangantangan		noun	Samson p729 [unknown/low]
tangas			Samson p730 [dictionary_explicit/high]
tangban			Samson p729 [dictionary_explicit/high]
tangdo		transitive verb	Samson p730 [dictionary_explicit/high]
tangga		noun	Samson p729 [unknown/low]
tanggal		V./D	PALI:tangga’l
tanggap		V	PALI:tanggap
tanggi		V	PALI:tanggi’q
tanggilu			Samson p731 [dictionary_explicit/high]
tanggo			Samson p731 [unknown/low]
tangguac			Samson p731 [unknown/low]
tanggul		V	PALI:tanggul
tanghun			Samson p731 [unknown/low]
tangi		adjective	Samson p731 [dictionary_explicit/high]
tangis		noun	Samson p731 [dictionary_explicit/high]
tangka		adjective	Samson p730 [dictionary_explicit/high]
tangkal		noun	Samson p730 [unknown/low]
tangkap		adjective	Samson p730 [dictionary_explicit/high]
tangkas		noun	Samson p730 [unknown/low]
tangke		N	PALI:ta’ngke
tangki		N	PALI:tangki’q
tangkiap		noun	Samson p732 [unknown/low]
tangkil			Samson p732 [dictionary_explicit/high]
tangkilic		noun	Samson p732 [unknown/low]
tangkul		transitive verb	Samson p730 [dictionary_explicit/high]
tanglad			Samson p732 [unknown/low]
tangle		N	PALI:tangle’
tanglon		noun	Samson p732 [unknown/low]
tango		V	PALI:tango’q
tangpus			Samson p733 [dictionary_explicit/high]
tangsu		N	PALI:tangsu’
tangtang		adjective	Samson p733 [dictionary_explicit/high]
tangu		noun	Samson p733 [dictionary_explicit/high]
tangutangu			Samson p733 [unknown/low]
tangwe		noun	Samson p733 [unknown/low]
taniag			Samson p733 [unknown/low]
tanid			Samson p733 [unknown/low]
tanikala		N	PALI:tanika’laq
tanim		noun	Samson p733 [dictionary_explicit/high]
tanling		noun	Samson p733 [dictionary_explicit/high]
tansan		noun	Samson p733 [unknown/low]
tansil		N	PALI:tansil
tantara		noun	Samson p733 [unknown/low]
tantia		noun	Samson p733 [unknown/low]
tantiado		adjective	Samson p733 [unknown/low]
tantu		noun	Samson p734 [dictionary_explicit/high]
tanuc		intransitive verb	Samson p734 [dictionary_explicit/high]
tanud		adjective	Samson p734 [unknown/low]
tanuran			Samson p734 [unknown/low]
tanyang		D	PALI:tanyang
tapa		N	PALI:tapa’q
tapac		adjective	Samson p734 [unknown/low]
tapak		D	PALI:tapa’k
tapal			Samson p734 [dictionary_explicit/high]
tapalodo			Samson p734 [unknown/low]
tapang		D	PALI:ta’pang
tapangku		N	PALI:tapa’ngku
tapas		adjective	Samson p735 [unknown/low]
tapat		adjective	Samson p735 [dictionary_explicit/high]
tapayan		N	PALI:tapa’yan
tapete		noun	Samson p735 [unknown/low]
tapias		noun	Samson p735 [unknown/low]
tapictapic			Samson p735 [unknown/low]
tapie		noun	Samson p735 [unknown/low]
tapik			Kapampangan-English-Pilipino wordlist p52 [unknown/low]
tapil		N	PALI:ta’pil
tapis			Samson p735 [dictionary_explicit/high]
tapiseria		noun	Samson p735 [dictionary_explicit/high]
tapitapi		noun	Samson p736 [unknown/low]
tapius		adjective	Samson p736 [dictionary_explicit/high]
tapuc		transitive verb	Samson p736 [dictionary_explicit/high]
tapuk			Kapampangan-English-Pilipino wordlist p52 [unknown/low]
tapun		N	PALI:tapun
tapung		noun	Samson p736 [dictionary_explicit/high]
tapus		transitive verb	Samson p736 [dictionary_explicit/high]
taqu			PALI:ta’qu
tara		Excl	PALI:tara’
tarac		noun	Samson p736 [dictionary_explicit/high]
taram		D	PALI:tara’m
taramindu			Kapampangan-English-Pilipino wordlist p52 [unknown/low]
taranati			Samson p737 [unknown/low]
taranta		D	PALI:tara’nta
tarantadu		adjective	Samson p737 [unknown/low]
tarantela			Samson p737 [unknown/low]
tarat		N	PALI:tara’t
taratara		noun	Samson p737 [unknown/low]
taratus			Samson p737 [unknown/low]
tarenten			Samson p737 [unknown/low]
tarheta		noun	Samson p737 [unknown/low]
tari		N	PALI:ta’riq
taric		noun	Samson p738 [dictionary_explicit/high]
tarifa		noun	Samson p738 [unknown/low]
tarik			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
tarlac		noun	Samson p738 [unknown/low]
tarling			Samson p738 [unknown/low]
tartanilia		noun	Samson p738 [unknown/low]
tartar			Samson p738 [unknown/low]
tartaro		noun	Samson p738 [unknown/low]
taru		N./V	PALI:taru’q
taruc			Samson p738 [dictionary_explicit/high]
taruk		V	PALI:taru’k
tarundung		N	PALI:tarundung
tarus			Samson p738 [unknown/low]
tas		D	PALI:tas
tasa		N	PALI:ta’sa
tasac		noun	Samson p739 [dictionary_explicit/high]
tasaday		noun	Samson p739 [unknown/low]
tasador		noun	Samson p739 [unknown/low]
tasadu			Samson p739 [unknown/low]
tasan		V	PALI:tasa’n
tasic		noun	Samson p739 [unknown/low]
tastas			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
tata		N	PALI:ta’ta
tatac		transitive verb	Samson p739 [dictionary_explicit/high]
tatad		noun	Samson p739 [unknown/low]
tatag		transitive verb	Samson p739 [dictionary_explicit/high]
tatak			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
tatal			Samson p740 [dictionary_explicit/high]
tatang		noun	Samson p740 [unknown/low]
tatap		V	PALI:tata’p
tatasic			Samson p739 [dictionary_explicit/high]
tatdptatdp			Samson p740 [unknown/low]
tatio		noun	Samson p740 [unknown/low]
tatsa			Samson p740 [unknown/low]
tatsu			Samson p740 [unknown/low]
tatu		noun	Samson p740 [dictionary_explicit/high]
tatyo			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
tau		transitive verb	Samson p740 [dictionary_explicit/high]
tauac			Samson p740 [dictionary_explicit/high]
tauad		noun	Samson p740 [dictionary_explicit/high]
tauag		noun	Samson p741 [dictionary_explicit/high]
tauas		noun	Samson p741 [unknown/low]
taue		adjective	Samson p741 [dictionary_explicit/high]
tauge		noun	Samson p741 [dictionary_explicit/high]
taui		noun-verb	Samson p741 [unknown/low]
tauid			Samson p741 [dictionary_explicit/high]
tauil		noun-verb	Samson p742 [unknown/low]
tauing			Samson p742 [unknown/low]
tauit			Samson p742 [unknown/low]
taul			Samson p742 [dictionary_explicit/high]
tauli		D	PALI:tauli’q
taung		noun	Samson p742 [dictionary_explicit/high]
tauo		noun	Samson p742 [dictionary_explicit/high]
taus		adjective	Samson p742 [dictionary_explicit/high]
tausug		noun	Samson p743 [unknown/low]
taute		adverb	Samson p743 [dictionary_explicit/high]
taverna		noun	Samson p743 [unknown/low]
tawad		N	PALI:ta’wad
taya		N	PALI:ta’ya
tayac		noun	Samson p743 [dictionary_explicit/high]
tayad		noun-verb	Samson p743 [dictionary_explicit/high]
tayag		transitive verb	Samson p743 [dictionary_explicit/high]
tayakad		noun	Samson p743 [unknown/low]
tayang		noun	Samson p743 [unknown/low]
tayas			Samson p743 [dictionary_explicit/high]
tayi		manahiq, ma:nahiq, menahiq	PALI:tayi’q
tayo			Samson p743 [dictionary_explicit/high]
tayu			Samson p743 [dictionary_explicit/high]
tayum		noun	Samson p743 [dictionary_explicit/high]
te		pronoun	Samson p744 [unknown/low]
teatro		noun	Samson p744 [unknown/low]
tebac			Samson p697 [dictionary_explicit/high]
teclado		noun	Samson p744 [unknown/low]
tecnika		noun	Samson p744 [unknown/low]
tecniko		noun	Samson p744 [unknown/low]
tecnolohia		noun	Samson p744 [unknown/low]
tegauan			Samson p744 [unknown/low]
tegawan		N	PALI:tega’wan
teka		noun	Samson p744 [unknown/low]
tekas			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
teklada			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
teknikal		D	PALI:teknikal
tekwad			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
tekwan			Kapampangan-English-Pilipino wordlist p53 [unknown/low]
tela		N	PALI:te’la
telabanua		noun	Samson p744 [unknown/low]
telabanwa		N	PALI:telaba’nwa
telabastagan		N	PALI:telabastagan
telabulan		N	PALI:telabulan
