surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
maluka,prefixation,ma+luka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,mal+uka,maluka,maluka,maluka,,,
masaya,prefixation,ma+saya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,ma+sa+ya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,ma+sa+ya,ma+sa+ya,masaya,masaya,,,
paburen,prefixation,pa+buren,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,,,
malagung,prefixation,ma+lagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,,,
maranun,prefixation,ma+ranun,mar+anun,maranun,maranun,mar+an+un,mar+an+un,mar+an+un,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,maranun,,,
mawala,prefixation,ma+wala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,,,
panayan,prefixation,panaya+n,pan+ayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,,,
pilatan,prefixation,pi+latan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,,,
malati,prefixation,ma+lati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,,,
mayupaya,prefixation,ma+yupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,ma+yupaya,mayupaya,mayupaya,mayu+pa+ya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayupaya,,,
makapagmulalang,prefixation,makapag+mulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mu+lalang,makapag+mulalang,makapagmulalang,makapag+mu+lalang,makapag+mulalang,makapagmulalang,makapag+mu+lalang,makapag+mu+lalang,makapagmulalang,makapagmulala+ng,,,
makipamuk,prefixation,ma+kipamuk,mak+ipam+uk,mak+ipamuk,makipamuk,maki+pamuk,maki+pamuk,makipamuk,maki+pam+uk,maki+pamuk,makipamuk,maki+pam+uk,maki+pamuk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,ma+kipamuk,,,
pangisnawa,prefixation,pang+isnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+is+nawa,pangis+nawa,pangisnawa,pang+is+nawa,pang+is+nawa,pangisnawa,pangisnawa,,,
panlalawe,prefixation,pan+lalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,p+an+lalawe,p+an+lalawe,panlalawe,pan+la+lawe,,,
makalukluk,prefixation,maka+lukluk,makalukluk,makalukluk,makalukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,,,
manases,prefixation,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+as+es,man+as+es,,,
masampat,prefixation,ma+sampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+am+pat,masampat,masampat,mas+ampat,masampat,masampat,mas+amp+at,,,
masayang,prefixation,ma+sayang,mas+ayang,masayang,masayang,mas+a+yang,mas+ayang,mas+ayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,masa+yang,masa+yang,masa+yang,ma+sayang,ma+sayang,ma+sayang,masaya+ng,,,
magligtas,prefixation,mag+ligtas,mag+ligtas,mag+ligtas,magligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,,,
matuang,prefixation,ma+tuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,,,
pangatau,prefixation,pang+atau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,,,
patugut,prefixation,pa+tugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,,,
mabayat,prefixation,ma+bayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,,,
malalam,prefixation,ma+lalam,malalam,malalam,malalam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,ma+lalam,ma+lalam,ma+lalam,ma+lala+m,ma+lala+m,malala+m,ma+lalam,ma+lalam,ma+lalam,ma+lalam,,,
mapilan,prefixation,ma+pilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,,,
pakakalulu,prefixation,pa+kakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+kal+ulu,pakakal+ulu,pakakalulu,paka+kal+ulu,pakakal+ulu,pakakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+ka+lulu,pakaka+lulu,pakakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+ka+lulu,paka+ka+lulu,pakakalulu,pakakalulu,,,
panata,prefixation,panata,pan+ata,pan+ata,panata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,p+an+ata,p+an+ata,p+an+ata,pan+at+a,,,
pisali,prefixation,pi+sali,pis+ali,pis+ali,pisali,pis+ali,pis+ali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pis+ali,pisali,pisali,,,
makatungkul,prefixation,maka+tungkul,makat+ungkul,makat+ungkul,makatungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,,,
mapalyari,prefixation,ma+palyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,ma+palyari,mapalyari,mapalyari,mapalyari,,,
panugali,prefixation,pan+ugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,p+an+ugali,panugali,panugali,panugali,,,
magbalik,prefixation,mag+balik,mag+balik,magbalik,magbalik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,magbalik,,,
makasumami,prefixation,maka+sumami,makas+um+ami,makas+um+ami,makas+um+ami,maka+sum+ami,maka+sum+ami,maka+sum+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,maka+s+um+ami,maka+su+mam+i,maka+su+mam+i,maka+su+mami,maka+suma+mi,,,
malating,prefixation,ma+lating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,,,
maldang,prefixation,ma+ldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+d+ang,mal+d+ang,maldang,mal+dang,maldang,maldang,malda+ng,,,
mangmang,prefixation,mang+mang,mang+mang,mang+mang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,,,
maybug,prefixation,ma+ybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,,,
palalu,prefixation,pa+lalu,pal+alu,pal+alu,palalu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,,,
palang,prefixation,pa+lang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,p+alang,palang,pa+lang,pa+lang,palang,pa+lang,,,
pansin,prefixation,pa+nsin,pan+sin,pansin,pansin,pan+sin,pansin,pansin,pans+in,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,,,
payapa,prefixation,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,pa+ya+pa,payapa,payapa,pa+ya+pa,paya+pa,payapa,paya+pa,payapa,payapa,payapa,,,
mababa,prefixation,ma+baba,mab+aba,mababa,mababa,mab+aba,mababa,mababa,ma+baba,mababa,mababa,ma+baba,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,,,
makibat,prefixation,ma+kibat,mak+ibat,mak+ibat,makibat,mak+ibat,mak+ibat,makibat,mak+ibat,mak+ibat,makibat,mak+ibat,mak+ibat,makibat,ma+kibat,ma+kibat,makibat,maki+bat,maki+bat,makibat,maki+bat,maki+bat,makibat,maki+bat,maki+bat,makibat,maki+bat,,,
mangarawak,prefixation,mang+arawak,mangar+awak,mangar+awak,mangarawak,mangar+awak,mangar+awak,mangarawak,mangar+aw+ak,mangar+awak,mangarawak,mang+ar+aw+ak,mang+ar+awak,mangarawak,mang+ar+aw+ak,mang+ar+awak,mangarawak,mang+ara+wak,mang+ara+wak,mangarawak,mang+ara+wak,mang+ara+wak,mangarawak,manga+rawak,manga+rawak,mangarawak,mang+arawak,,,
mangatas,prefixation,mang+atas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mangat+as,mangat+as,mangatas,mangat+as,mangat+as,mangatas,manga+tas,,,
marinat,prefixation,ma+rinat,mar+inat,marinat,marinat,mar+inat,marinat,marinat,mar+inat,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marinat,,,
masakit,prefixation,ma+sakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,ma+sakit,,,
masalese,prefixation,ma+salese,masalese,masalese,masalese,mas+al+ese,mas+al+ese,masal+ese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,masalese,,,
masant,prefixation,ma+sant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,masant,mas+ant,mas+ant,mas+ant,mas+an+t,,,
maslag,prefixation,ma+slag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,m+aslag,,,
pagkalub,prefixation,pa+gkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pagka+lub,pagkalub,pagkalub,pagka+lub,pagka+lub,pagkalub,pagka+lub,pagkalub,pagkalub,pagkalub,,,
pagsalbat,prefixation,pa+gsalbat,pag+sal+bat,pag+sal+bat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,p+agsalbat,,,
paralan,prefixation,pa+ralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,,,
pastul,prefixation,pastul,pas+tul,pastul,pastul,pas+tul,pastul,pastul,pas+tul,pastul,pastul,past+ul,pastul,pastul,past+ul,pastul,pastul,pas+tul,pastul,pastul,pa+st+ul,pastul,pastul,pas+tul,pastul,pastul,pastul,,,
malutu,prefixation,ma+lutu,mal+utu,malutu,malutu,mal+utu,malutu,malutu,mal+utu,malutu,malutu,mal+utu,malutu,malutu,malu+tu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,,,
manalo,prefixation,ma+nalo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+a+lo,,,
mangalati,prefixation,mang+alati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangala+ti,mangala+ti,mangalati,mangala+ti,mangala+ti,mangalati,mangala+ti,mangala+ti,mangalati,mangalati,,,
mapaling,prefixation,ma+paling,map+aling,map+aling,mapaling,map+aling,mapaling,mapaling,mapal+ing,mapaling,mapaling,mapal+ing,mapaling,mapaling,mapal+ing,mapaling,mapaling,mapal+ing,mapaling,mapaling,ma+pali+ng,mapali+ng,mapaling,ma+pali+ng,ma+pali+ng,mapaling,mapa+ling,,,
matatag,prefixation,ma+tatag,mat+atag,mat+atag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,mat+atag,matatag,mat+atag,matatag,matatag,ma+tatag,,,
mayumu,prefixation,ma+yumu,mayu+mu,mayumu,mayumu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,ma+yu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayumu,,,
parati,prefixation,pa+rati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,,,
ipagamuamu,prefixation,ipa+gamuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amu+amu,ipag+amuamu,ipag+amu+amu,ipag+amu+amu,ipag+amuamu,ipa+gamuamu,,,
makimut,prefixation,ma+kimut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,ma+kimut,,,
makudta,prefixation,ma+kudta,mak+ud+ta,mak+udta,makudta,mak+udta,mak+udta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kudta,,,
malale,prefixation,ma+lale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,ma+la+le,mala+le,malale,ma+la+le,ma+la+le,malale,ma+la+le,ma+la+le,malale,mala+le,,,
manenaya,prefixation,man+enaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+ena+ya,man+enaya,manenaya,man+en+aya,manen+aya,manenaya,man+en+aya,man+en+aya,manenaya,manenaya,,,
matalik,prefixation,ma+talik,mat+alik,mat+alik,matalik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,ma+talik,,,
miglalang,prefixation,mig+lalang,mig+lalang,mig+lalang,miglalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,miglala+ng,,,
pampanga,prefixation,pam+panga,pampang+a,pampang+a,pampang+a,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pampang+a,,,
pangamate,prefixation,panga+mate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,panga+mate,,,
pantas,prefixation,pantas,pant+as,pantas,pantas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,panta+s,panta+s,panta+s,pan+tas,,,
ipasiag,prefixation,ipa+siag,ip+asi+ag,ip+asiag,ip+asiag,ip+asi+ag,ip+asi+ag,ip+asiag,ip+asi+ag,ip+asi+ag,ip+asiag,ipa+siag,ipa+siag,ipa+siag,i+pasi+ag,i+pasiag,i+pasiag,i+pasi+ag,i+pasiag,i+pasiag,i+pasi+ag,i+pasi+ag,i+pasiag,i+pasi+ag,i+pasi+ag,i+pasiag,i+pasiag,,,
mangalambut,prefixation,mang+alambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangala+m+but,mangala+m+but,mangala+mbut,mang+alam+but,mang+alam+but,mang+alambut,mangala+m+but,mangala+m+but,mangala+m+but,manga+lambut,,,
maniaman,prefixation,man+iaman,mani+aman,mani+aman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,mani+aman,maniaman,mani+aman,mani+aman,maniaman,maniaman,,,
mantabe,prefixation,man+tabe,man+t+abe,mant+abe,mantabe,man+t+abe,mant+abe,mantabe,man+t+abe,mant+abe,mantabe,man+tabe,man+tabe,mantabe,man+tabe,man+tabe,mantabe,man+tabe,man+tabe,mantabe,man+tabe,man+tabe,mantabe,man+ta+be,man+tabe,mantabe,m+antabe,,,
mengari,prefixation,men+gari,meng+ari,meng+ari,mengari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,me+ng+ari,me+ng+ari,me+ng+ari,menga+ri,,,
malipul,prefixation,ma+lipul,mal+ip+ul,mal+ip+ul,mal+ipul,mal+ip+ul,mal+ip+ul,mal+ipul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,m+ali+pul,m+ali+pul,m+ali+pul,mali+pul,mali+pul,mali+pul,mali+pul,mali+pul,mali+pul,mali+pul,,,
malunus,prefixation,ma+lunus,mal+unus,mal+unus,malunus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+un+us,mal+unus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+un+us,mal+unus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+un+us,malun+us,ma+lunus,,,
mangga,prefixation,ma+ngga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,,,
marapat,prefixation,ma+rapat,mar+apat,marapat,marapat,mar+apat,marapat,marapat,ma+rapat,marapat,marapat,ma+rapat,marapat,marapat,mara+pat,marapat,marapat,ma+rapat,marapat,marapat,ma+rapat,marapat,marapat,ma+rapat,marapat,marapat,m+arapat,,,
masias,prefixation,ma+sias,mas+ias,mas+ias,masias,masi+as,masi+as,masias,mas+ias,mas+ias,masias,masi+as,masi+as,masias,ma+si+as,masi+as,masias,ma+sias,ma+sias,masias,ma+si+as,ma+sias,masias,ma+sias,ma+sias,masias,mas+ias,,,
mekamate,prefixation,meka+mate,me+kamat+e,me+kamat+e,me+kamate,me+kamat+e,me+kamat+e,me+kamat+e,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mat+e,meka+mat+e,meka+mat+e,meka+mate,meka+mate,meka+mate,meka+mate,,,
patingapun,prefixation,pa+tingapun,pat+ing+apun,pat+ing+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pati+ng+apun,pati+ng+apun,patingapun,pati+ng+apun,pati+ng+apun,patingapun,patingapun,,,
