surface,process,tier,silver_gold,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080
makiramdam,prefixation,B_moderate_silver,ma+kiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,m+akiramdam
matula,prefixation,F_conflicts_with_reconciliation_evidence,ma+tula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula
miguising,prefixation,B_moderate_silver,mig+uising,mig+u+ising,mig+u+ising,miguising,mig+u+ising,migu+ising,miguising,mig+u+ising,migu+ising,miguising,mig+u+ising,migu+ising,miguising,mi+gu+ising,mi+gu+ising,miguising,mi+gu+ising,mi+gu+ising,miguising,mi+gu+isi+ng,mi+gu+isi+ng,miguising,mi+gu+isi+ng,mi+gu+isi+ng,miguising,mi+gui+s+ing
magsantung,prefixation,A_strong_silver,mag+santung,mag+sant+ung,mag+sant+ung,magsantung,mag+sant+ung,mag+santung,mag+santung,mag+sant+ung,mag+santung,mag+santung,mag+san+tung,mag+santung,mag+santung,mag+san+tung,mag+santung,mag+santung,mag+santung,mag+santung,mag+santung,mag+san+tung,mag+san+tung,mag+santung,mag+san+tung,mag+santung,mag+santung,mag+santung
makananung,prefixation,B_moderate_silver,maka+nanung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananu+ng
matudtud,prefixation,A_strong_silver,ma+tudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtu+d
menibat,prefixation,A_strong_silver,men+ibat,menibat,menibat,menibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,menibat
magdala,prefixation,A_strong_silver,mag+dala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala
malinis,prefixation,A_strong_silver,ma+linis,malinis,malinis,malinis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,ma+linis
pilinan,prefixation,B_moderate_silver,pi+linan,pil+inan,pil+inan,pilinan,pil+inan,pil+inan,pilinan,pil+inan,pil+inan,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pi+lin+an
maluka,prefixation,F_conflicts_with_reconciliation_evidence,ma+luka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,malu+ka,maluka,maluka,mal+uka,maluka,maluka,maluka
masaya,prefixation,A_strong_silver,ma+saya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,ma+sa+ya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,masaya,ma+sa+ya,ma+sa+ya,masaya,masaya
paburen,prefixation,A_strong_silver,pa+buren,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen,paburen
malagung,prefixation,B_moderate_silver,ma+lagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung
maranun,prefixation,A_strong_silver,ma+ranun,mar+anun,maranun,maranun,mar+an+un,mar+an+un,mar+an+un,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,ma+ranun,maranun
mawala,prefixation,F_conflicts_with_reconciliation_evidence,ma+wala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala,mawala,mawala,ma+wala
panayan,prefixation,F_conflicts_with_reconciliation_evidence,panaya+n,pan+ayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan,panayan
pilatan,prefixation,B_moderate_silver,pi+latan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan,pilatan
malati,prefixation,A_strong_silver,ma+lati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati,malati
mayupaya,prefixation,B_moderate_silver,ma+yupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,ma+yupaya,mayupaya,mayupaya,mayu+pa+ya,mayupaya,mayupaya,mayu+paya,mayupaya,mayupaya,mayupaya
makapagmulalang,prefixation,B_moderate_silver,makapag+mulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mul+alang,makapag+mulalang,makapagmulalang,makapag+mu+lalang,makapag+mulalang,makapagmulalang,makapag+mu+lalang,makapag+mulalang,makapagmulalang,makapag+mu+lalang,makapag+mu+lalang,makapagmulalang,makapagmulala+ng
makipamuk,prefixation,B_moderate_silver,ma+kipamuk,mak+ipam+uk,mak+ipamuk,makipamuk,maki+pamuk,maki+pamuk,makipamuk,maki+pam+uk,maki+pamuk,makipamuk,maki+pam+uk,maki+pamuk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,maki+pam+uk,maki+pam+uk,makipamuk,ma+kipamuk
pangisnawa,prefixation,B_moderate_silver,pang+isnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+isnawa,pang+isnawa,pangisnawa,pang+is+nawa,pangis+nawa,pangisnawa,pang+is+nawa,pang+is+nawa,pangisnawa,pangisnawa
panlalawe,prefixation,B_moderate_silver,pan+lalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,pan+lalawe,pan+lalawe,panlalawe,p+an+lalawe,p+an+lalawe,panlalawe,pan+la+lawe
makalukluk,prefixation,A_strong_silver,maka+lukluk,makalukluk,makalukluk,makalukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,makal+ukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk,maka+lukluk
manases,prefixation,B_moderate_silver,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+ases,man+as+es,man+as+es,man+as+es,man+as+es
masampat,prefixation,F_conflicts_with_reconciliation_evidence,ma+sampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+ampat,masampat,masampat,mas+am+pat,masampat,masampat,mas+ampat,masampat,masampat,mas+amp+at
masayang,prefixation,A_strong_silver,ma+sayang,mas+ayang,masayang,masayang,mas+a+yang,mas+ayang,mas+ayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,ma+sayang,masa+yang,masa+yang,masa+yang,ma+sayang,ma+sayang,ma+sayang,masaya+ng
magligtas,prefixation,A_strong_silver,mag+ligtas,mag+ligtas,mag+ligtas,magligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas,mag+ligtas
matuang,prefixation,F_conflicts_with_reconciliation_evidence,ma+tuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang,matuang
pangatau,prefixation,B_moderate_silver,pang+atau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau,pangatau
patugut,prefixation,A_strong_silver,pa+tugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut,patugut
mabayat,prefixation,A_strong_silver,ma+bayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat,mabayat
malalam,prefixation,A_strong_silver,ma+lalam,malalam,malalam,malalam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,mal+alam,ma+lalam,ma+lalam,ma+lalam,ma+lala+m,ma+lala+m,malala+m,ma+lalam,ma+lalam,ma+lalam,ma+lalam
mapilan,prefixation,A_strong_silver,ma+pilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan,mapilan
pakakalulu,prefixation,B_moderate_silver,pa+kakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+kal+ulu,pakakal+ulu,pakakalulu,paka+kal+ulu,pakakal+ulu,pakakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+ka+lulu,pakaka+lulu,pakakalulu,paka+kalulu,paka+kalulu,pakakalulu,paka+ka+lulu,paka+ka+lulu,pakakalulu,pakakalulu
panata,prefixation,F_conflicts_with_reconciliation_evidence,panata,pan+ata,pan+ata,panata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,pan+ata,p+an+ata,p+an+ata,p+an+ata,pan+at+a
pisali,prefixation,A_strong_silver,pi+sali,pis+ali,pis+ali,pisali,pis+ali,pis+ali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pisali,pisali,pis+ali,pis+ali,pisali,pisali
makatungkul,prefixation,A_strong_silver,maka+tungkul,makat+ungkul,makat+ungkul,makatungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,makat+ungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul,maka+tungkul
mapalyari,prefixation,B_moderate_silver,ma+palyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,mapal+yari,mapalyari,mapalyari,ma+palyari,mapalyari,mapalyari,mapalyari
panugali,prefixation,A_strong_silver,pan+ugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,pan+ugali,panugali,panugali,p+an+ugali,panugali,panugali,panugali
magbalik,prefixation,A_strong_silver,mag+balik,mag+balik,magbalik,magbalik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,mag+balik,magbalik
makasumami,prefixation,F_conflicts_with_reconciliation_evidence,maka+sumami,makas+um+ami,makas+um+ami,makas+um+ami,maka+sum+ami,maka+sum+ami,maka+sum+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,makas+um+ami,maka+s+um+ami,maka+s+um+ami,maka+s+um+ami,maka+su+mam+i,maka+su+mam+i,maka+su+mami,maka+suma+mi
malating,prefixation,B_moderate_silver,ma+lating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating,malating
maldang,prefixation,B_moderate_silver,ma+ldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+dang,maldang,maldang,mal+d+ang,mal+d+ang,maldang,mal+dang,maldang,maldang,malda+ng
mangmang,prefixation,A_strong_silver,mang+mang,mang+mang,mang+mang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang
maybug,prefixation,B_moderate_silver,ma+ybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug,may+bug,maybug,may+bug
palalu,prefixation,A_strong_silver,pa+lalu,pal+alu,pal+alu,palalu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pal+alu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu,pa+lalu
palang,prefixation,B_moderate_silver,pa+lang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,palang,palang,p+alang,p+alang,palang,pa+lang,pa+lang,palang,pa+lang
pansin,prefixation,B_moderate_silver,pa+nsin,pan+sin,pansin,pansin,pan+sin,pansin,pansin,pans+in,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin,pansin
payapa,prefixation,F_conflicts_with_reconciliation_evidence,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,paya+pa,payapa,payapa,pa+ya+pa,payapa,payapa,pa+ya+pa,paya+pa,payapa,paya+pa,payapa,payapa,payapa
mababa,prefixation,F_conflicts_with_reconciliation_evidence,ma+baba,mab+aba,mababa,mababa,mab+aba,mababa,mababa,ma+baba,mababa,mababa,ma+baba,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa,mababa
makibat,prefixation,B_moderate_silver,ma+kibat,mak+ibat,mak+ibat,makibat,mak+ibat,mak+ibat,makibat,mak+ibat,mak+ibat,makibat,mak+ibat,mak+ibat,makibat,ma+kibat,ma+kibat,makibat,maki+bat,maki+bat,makibat,maki+bat,maki+bat,makibat,maki+bat,maki+bat,makibat,maki+bat
mangarawak,prefixation,B_moderate_silver,mang+arawak,mangar+awak,mangar+awak,mangarawak,mangar+awak,mangar+awak,mangarawak,mangar+aw+ak,mangar+awak,mangarawak,mang+ar+aw+ak,mang+ar+awak,mangarawak,mang+ar+aw+ak,mang+ar+awak,mangarawak,mang+ara+wak,mang+ara+wak,mangarawak,mang+ara+wak,mang+ara+wak,mangarawak,manga+rawak,manga+rawak,mangarawak,mang+arawak
mangatas,prefixation,F_conflicts_with_reconciliation_evidence,mang+atas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mang+atas,mang+atas,mangatas,mangat+as,mangat+as,mangatas,mangat+as,mangat+as,mangatas,manga+tas
marinat,prefixation,B_moderate_silver,ma+rinat,mar+inat,marinat,marinat,mar+inat,marinat,marinat,mar+inat,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marin+at,marinat,marinat,marinat
masakit,prefixation,A_strong_silver,ma+sakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,masakit,ma+sakit
masalese,prefixation,A_strong_silver,ma+salese,masalese,masalese,masalese,mas+al+ese,mas+al+ese,masal+ese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,ma+salese,masalese
masant,prefixation,B_moderate_silver,ma+sant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,mas+ant,masant,mas+ant,mas+ant,mas+ant,mas+an+t
maslag,prefixation,B_moderate_silver,ma+slag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,mas+lag,maslag,maslag,m+aslag
pagkalub,prefixation,B_moderate_silver,pa+gkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pag+kalub,pag+kalub,pagkalub,pagka+lub,pagkalub,pagkalub,pagka+lub,pagka+lub,pagkalub,pagka+lub,pagkalub,pagkalub,pagkalub
pagsalbat,prefixation,B_moderate_silver,pa+gsalbat,pag+sal+bat,pag+sal+bat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,pag+sal+bat,pag+salbat,pagsalbat,p+agsalbat
paralan,prefixation,B_moderate_silver,pa+ralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan,paralan
pastul,prefixation,F_conflicts_with_reconciliation_evidence,pastul,pas+tul,pastul,pastul,pas+tul,pastul,pastul,pas+tul,pastul,pastul,past+ul,pastul,pastul,past+ul,pastul,pastul,pas+tul,pastul,pastul,pa+st+ul,pastul,pastul,pas+tul,pastul,pastul,pastul
malutu,prefixation,A_strong_silver,ma+lutu,mal+utu,malutu,malutu,mal+utu,malutu,malutu,mal+utu,malutu,malutu,mal+utu,malutu,malutu,malu+tu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu,malutu
manalo,prefixation,B_moderate_silver,ma+nalo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+alo,man+a+lo
mangalati,prefixation,B_moderate_silver,mang+alati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangal+ati,mangal+ati,mangalati,mangala+ti,mangala+ti,mangalati,mangala+ti,mangala+ti,mangalati,mangala+ti,mangala+ti,mangalati,mangalati
mapaling,prefixation,F_conflicts_with_reconciliation_evidence,ma+paling,map+aling,map+aling,mapaling,map+aling,mapaling,mapaling,mapal+ing,mapaling,mapaling,mapal+ing,mapaling,mapaling,mapal+ing,mapaling,mapaling,mapal+ing,mapaling,mapaling,ma+pali+ng,mapali+ng,mapaling,ma+pali+ng,ma+pali+ng,mapaling,mapa+ling
matatag,prefixation,F_conflicts_with_reconciliation_evidence,ma+tatag,mat+atag,mat+atag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,matatag,matatag,mat+atag,mat+atag,matatag,mat+atag,matatag,matatag,ma+tatag
mayumu,prefixation,F_conflicts_with_reconciliation_evidence,ma+yumu,mayu+mu,mayumu,mayumu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,ma+yu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayu+mu,mayumu
parati,prefixation,B_moderate_silver,pa+rati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati,parati
ipagamuamu,prefixation,B_moderate_silver,ipa+gamuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amuamu,ipag+amuamu,ipag+amu+amu,ipag+amu+amu,ipag+amuamu,ipag+amu+amu,ipag+amu+amu,ipag+amuamu,ipa+gamuamu
makimut,prefixation,A_strong_silver,ma+kimut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,mak+imut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,maki+mut,ma+kimut
makudta,prefixation,B_moderate_silver,ma+kudta,mak+ud+ta,mak+udta,makudta,mak+udta,mak+udta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kud+ta,ma+kud+ta,makudta,ma+kudta
malale,prefixation,F_conflicts_with_reconciliation_evidence,ma+lale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,mal+ale,mal+ale,malale,ma+la+le,mala+le,malale,ma+la+le,ma+la+le,malale,ma+la+le,ma+la+le,malale,mala+le
manenaya,prefixation,B_moderate_silver,man+enaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+en+aya,man+enaya,manenaya,man+ena+ya,man+enaya,manenaya,man+en+aya,manen+aya,manenaya,man+en+aya,man+en+aya,manenaya,manenaya
matalik,prefixation,A_strong_silver,ma+talik,mat+alik,mat+alik,matalik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,mat+alik,ma+talik
miglalang,prefixation,A_strong_silver,mig+lalang,mig+lalang,mig+lalang,miglalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,miglala+ng
pampanga,prefixation,A_strong_silver,pam+panga,pampang+a,pampang+a,pampang+a,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pam+panga,pampang+a
pangamate,prefixation,A_strong_silver,panga+mate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,pang+amate,pangamate,pangamate,panga+mate
pantas,prefixation,F_conflicts_with_reconciliation_evidence,pantas,pant+as,pantas,pantas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,pan+tas,panta+s,panta+s,panta+s,pan+tas
